hard_skill,soft_skill,label,candidate_field
"['acceptance testing', 'automation', 'budgeting', 'business', 'business requirements', 'cash flows', 'credit risk', 'data', 'finance', 'financial services', 'gap analysis', 'hedge accounting', 'market risk', 'oracle', 'project management', 'receivables', 'remuneration', 'server', 'sql', 'systems integration', 'testing', 'trading', 'treasury', 'excel', 'excel vba']","['collaboration', 'integration', 'management', 'operations', 'planning', 'teamwork', 'writing']",1,telecomunication
"['nursing', 'registration', 'service']",['written communication'],0,healthcare & medical
"['business', 'crm', 'data', 'data collection', 'his', 'imaging', 'medical', 'medical imaging', 'medical terminology', 'nursing', 'plan execution', 'sales', 'service', 'standard', 'salesforce']","['accountability', 'collaboration', 'computer literacy', 'customer service', 'innovation', 'literacy', 'management', 'meeting', 'microsoft office']",0,sales
"['application', 'continuous quality improvement', 'healing', 'home care', 'medical', 'medical terminology', 'operating system', 'patient administration systems', 'private hospital', 'quality improvement', 'service', 'stewardship', 'system', 'testing', 'windows']","['customer service', 'hospitality', 'management', 'meeting', 'microsoft office', 'verbal communication skills']",0,administration & office support
"['application', 'business', 'cancer', 'cancer care', 'oncology', 'radiation oncology', 'radiation therapy', 'registration', 'service', 'strategic planning', 'working with children']","['innovation', 'leadership', 'management', 'operations', 'planning', 'research', 'training and development']",0,healthcare & medical
"['acting', 'bookkeeping', 'business', 'legislation', 'maternity', 'sales', 'excel']","['management', 'operations', 'planning', 'time constraints']",0,accounting
"['business', 'financial services', 'investment management', 'standard', 'excel']","['management', 'microsoft office', 'operations', 'professionalism', 'time management']",0,administration & office support
"['calculations', 'credit control', 'finance', 'fixed asset', 'fixed asset register', 'sales', 'service', 'system']","['management', 'spreadsheet']",0,accounting
"['agility', 'business', 'business development', 'growth strategies', 'marketing communications', 'positioning', 'professional services', 'revenue growth', 'sales', 'service']","['communications', 'influencing skills', 'management', 'planning', 'verbal communication skills', 'virtual teams']",0,marketing
"['analytics', 'business', 'business analysis', 'business development', 'business planning', 'crm', 'data', 'finance', 'microsoft visio', 'power bi', 'reengineering', 'sales', 'sales operations', 'sas', 'track', 'excel']","['management', 'operations', 'planning', 'presentations', 'program management']",0,sales
"['cardiology', 'critical care', 'customer support', 'device', 'interventional cardiology', 'medical', 'medical devices', 'medical sales', 'remuneration', 'respiratory care', 'sales', 'service', 'track', 'vascular access']",['customer service'],0,healthcare & medical
"['business', 'digital', 'embroidery', 'maternity', 'screen printing', 'excel']","['management', 'time management']",0,administration & office support
"['finance', 'managed services', 'problem management', 'service', 'service desk', 'system']","['information technology', 'infrastructure', 'management', 'operations', 'problem solving', 'research']",1,telecomunication
"['brand strategy', 'business', 'digital', 'foods', 'market share', 'marketing mix', 'sales', 'sport', 'sports nutrition', 'track']","['innovation', 'integration', 'leadership', 'research']",0,marketing
"['application', 'calibration', 'consultative selling', 'kpis', 'positioning', 'remuneration', 'sales', 'service', 'surveying', 'track', 'vehicle']","['listening skills', 'persistence', 'resilience']",0,sales
"['application', 'cancer', 'endocrinology', 'liver transplantation', 'mental health', 'neurology', 'nursing', 'nursing care', 'rehabilitation', 'service', 'spinal cord injuries', 'working with children']","['collaboration', 'planning', 'research']",0,healthcare & medical
"['child protection', 'family therapy', 'home care', 'mental health', 'registration', 'remuneration', 'structural family therapy', 'system']",[],0,healthcare & medical
"['finance', 'financial systems', 'procurement', 'security', 'stakeholder engagement', 'standard', 'excel']",[],0,administration & office support
"['medical', 'nursing', 'service']","['computer literacy', 'customer service', 'literacy', 'management']",0,administration & office support
"['business', 'digital', 'financial risk', 'financial services', 'imagine', 'project management', 'solution delivery', 'standard', 'talent management', 'toolkit', 'track']","['accountability', 'consulting', 'creative thinking', 'creativity', 'governance', 'management', 'professionalism', 'scheduling', 'written communication']",1,telecomunication
"['application', 'integrated care', 'primary care', 'virtual reality']",['written communication'],0,healthcare & medical
"['go', 'inventory', 'inventory management', 'merchandising', 'sales', 'selling techniques', 'service', 'sport', 'stock control']","['cleanliness', 'customer service', 'management', 'operations']",0,retail & consumer products
"['business', 'cabling', 'cpr', 'installation', 'pipe', 'registration', 'splicing', 'testing', 'traffic control', 'vehicle']","['communications', 'consulting', 'first aid', 'infrastructure', 'management']",1,telecomunication
['excel'],[],0,accounting
"['agility', 'analytics', 'business', 'data', 'data analysis', 'data mining', 'economics', 'finance', 'powerpivot', 'predictive analytics', 'resourcing', 'revenue enhancement', 'spss', 'sql', 'statistical packages', 'statistics', 'databases', 'dashboards', 'excel']",['microsoft excel'],0,accounting
"['act', 'agriculture', 'business', 'business to business', 'crm', 'customer experience', 'customer relationship management', 'cxml', 'e-business', 'employee benefits', 'erp', 'forestry', 'information systems', 'oracle', 'pools', 'project management', 'purchasing', 'remuneration', 'sales', 'service', 'software design', 'system', 'xml']","['computer literacy', 'customer service', 'information technology', 'literacy', 'management', 'relationship management', 'troubleshooting', 'web browsers']",1,telecomunication
"['crm', 'data', 'sales', 'service', 'standard', 'vehicle', 'excel']","['customer service', 'management', 'microsoft excel', 'microsoft office', 'relationship management']",0,administration & office support
"['api', 'django', 'front end', 'grails', 'java', 'medical', 'mobile', 'php', 'postgresql', 'software engineering', 'spring framework', 'system', 'testing', 'tests', 'web applications', 'web development', 'web framework', 'aws', 'databases']",['integration'],1,telecomunication
"['acting', 'advertisement', 'application', 'business', 'draft', 'finance', 'phase', 'refinement', 'solvency', 'technical accounting']","['leadership', 'written communication']",0,accounting
"['drawing', 'fashion retail', 'indicators', 'key performance indicators', 'management training', 'merchandising', 'performance management', 'retail management', 'sales', 'service', 'trading', 'visual merchandising']","['customer service', 'management', 'training and development']",0,retail & consumer products
"['geotechnical engineering', 'netsuite', 'sales', 'service', 'surveying', 'excel']","['customer service', 'english', 'innovation', 'leadership', 'management', 'microsoft office', 'verbal communication skills']",0,administration & office support
['sales'],"['innovation', 'written communication']",0,"advertising, arts & media"
"['application', 'arcgis', 'business', 'business sense', 'data', 'data management', 'data manipulation', 'gis applications', 'gis mapping', 'mapping', 'qgis', 'scada', 'spatial analysis', 'technical documentation', 'technical writing', 'modelling']","['innovation', 'integration', 'management', 'verbal communication skills', 'writing']",1,telecomunication
"['business', 'data']",['data entry'],0,administration & office support
"['acting', 'alteryx', 'business', 'business reporting', 'data', 'data analysis', 'etl', 'etl tools', 'mathematical analysis', 'sql', 'databases', 'modelling']","['presentations', 'writing']",0,accounting
"['accounts payable', 'accounts receivable', 'application', 'back end', 'business', 'digital', 'digital communications', 'inventory', 'material', 'microsoft access', 'public transport', 'publishing', 'service', 'statistics', 'trial balance', 'excel']","['communications', 'customer service', 'enthusiasm', 'microsoft office', 'written communication']",0,administration & office support
"['angular', 'api', 'application', 'application development', 'aurora', 'aws lambda', 'bitbucket', 'business', 'centos', 'continuous delivery', 'front-end', 'full stack', 'git', 'github', 'go', 'google cloud', 'internet of things', 'iot', 'javascript', 'javascript framework', 'linux', 'mobile', 'mysql', 'python', 'react', 'restful api', 'service', 'software development', 'tests', 'tunnels', 'ubuntu', 'web applications', 'aws', 'azure']","['curiosity', 'infrastructure', 'integration', 'management', 'planning', 'problem solving', 'teamwork', 'written communication']",1,telecomunication
"['career development', 'medical', 'phone support', 'service']","['computer literacy', 'customer service', 'literacy', 'professionalism', 'willingness to learn', 'writing']",0,healthcare & medical
"['nursing', 'registration', 'service', 'standard', 'tax']","['management', 'time management', 'willingness to learn']",0,healthcare & medical
"['pilates', 'remuneration']",[],0,healthcare & medical
"['business', 'business marketing', 'sales', 'system', 'tourism']","['management', 'meeting', 'social media']",0,marketing
"['agile methodology', 'business', 'communication planning', 'content management', 'digital', 'digital marketing', 'forecasting', 'jira', 'less', 'microsoft project', 'perspective', 'project estimation', 'project management', 'project scoping', 'resourcing', 'scrum', 'stakeholder engagement', 'excel']","['consulting', 'engagement skills', 'management', 'planning', 'time management']",1,telecomunication
"['acceptance testing', 'business', 'business requirements', 'change management', 'data', 'data migration', 'finance', 'procurement', 'sap functional', 'sap implementation', 'testing', 'track']","['management', 'meeting', 'writing']",1,telecomunication
"['cms', 'contract management', 'data', 'system', 'excel']","['data entry', 'filing', 'management', 'meeting', 'problem solving', 'time management', 'verbal communication skills']",0,administration & office support
"['service', 'sports injuries']",['customer service'],0,healthcare & medical
"['application', 'cancer', 'claim processing', 'data', 'data analysis', 'forecasting', 'hris', 'maternity', 'medical', 'service', 'workforce planning', 'working with children', 'excel']","['computer literacy', 'customer service', 'literacy', 'management', 'planning']",0,healthcare & medical
"['finance', 'treasury', 'excel']",[],0,accounting
"['emergency medicine', 'medicine']",[],0,healthcare & medical
"['bookkeeping', 'business', 'data', 'finance', 'reconciliation', 'service', 'system', 'excel']","['customer service', 'data entry']",0,accounting
"['business', 'customer advocacy', 'customer experience']","['advocacy', 'management']",0,retail & consumer products
"['acting', 'bank reconciliations', 'business']",['management'],0,accounting
"['application', 'bicycles', 'grinding', 'point of sale', 'professional communication', 'sales', 'service']","['accountability', 'customer service', 'retail sales']",0,retail & consumer products
"['business', 'communication strategies', 'corporate communications', 'digital', 'digital communications', 'digital content', 'landscape', 'promotional strategies', 'workflows']","['communications', 'management', 'problem solving', 'punctuality', 'reliability', 'results focused', 'social media', 'writing']",0,marketing
"['accounts payable', 'accounts receivable', 'business', 'ledgers', 'perm', 'renewable energy', 'sales']",[],0,accounting
"['act', 'application', 'business', 'health care system', 'medical', 'service', 'stakeholder management', 'strategic leadership', 'system', 'databases', 'excel']","['decision making', 'leadership', 'management', 'microsoft office', 'negotiation']",0,healthcare & medical
"['mobility', 'project management', 'vendor management']",['management'],1,telecomunication
"['career development', 'installation', 'mobility', 'relationship building', 'scripting', 'server', 'server administration', 'software development', 'sql', 'technical services']",['management'],1,telecomunication
"['cpr', 'manual handling', 'medical', 'nursing', 'registration', 'rehabilitation']",['verbal communication skills'],0,healthcare & medical
"['business', 'erp', 'legislation', 'payroll administration', 'system', 'excel']",['management'],0,accounting
"['application', 'medical', 'safety culture']",['writing'],0,administration & office support
"['act', 'business', 'system']","['memos', 'presentations', 'scheduling', 'transcribing']",0,administration & office support
"['biomechanics', 'biomedical engineering', 'career development', 'data', 'go', 'implant', 'joint replacement', 'kinematics', 'nursing', 'operating room', 'positioning', 'robotics', 'surgical procedures', 'system']","['planning', 'presentations', 'teamwork']",0,healthcare & medical
"['business', 'career development', 'medical', 'medical emergency', 'phase', 'security', 'service', 'vehicle']","['creativity', 'english', 'innovation', 'management', 'microsoft office']",0,healthcare & medical
"['biostatistics', 'data', 'epidemiology', 'gps', 'life sciences', 'manufacturing', 'oil and gas', 'pharmacology', 'product quality', 'project management', 'public health', 'sas', 'server', 'service', 'sql', 'usability']","['computer literacy', 'infrastructure', 'literacy', 'management', 'negotiation', 'quality assurance', 'research']",1,telecomunication
"['accounts payable', 'data', 'scale']","['computer literacy', 'data entry', 'infrastructure', 'literacy', 'management', 'verbal communication skills']",0,administration & office support
"['business', 'employee benefits', 'mobile', 'records management', 'sales', 'sales administration', 'service', 'vehicle', 'excel']","['computer literacy', 'customer service', 'literacy', 'management', 'teamwork']",0,retail & consumer products
"['audio', 'billing', 'booking', 'medical', 'practice management', 'system']","['management', 'meeting', 'scheduling', 'typing']",0,healthcare & medical
"['application', 'business', 'client services', 'data', 'reconciliation', 'records management', 'service']","['customer service', 'data entry', 'management', 'scheduling']",0,administration & office support
"['business', 'data', 'data extraction', 'data manipulation', 'data system', 'google cloud', 'high frequency', 'java', 'parsing', 'regular expressions', 'relational databases', 'scrum', 'system', 'trading', 'aws', 'azure', 'databases', 'modelling']",[],1,telecomunication
"['business', 'customer experience', 'data', 'digital', 'disabilities', 'health assessment', 'scheme', 'service', 'testing', 'track', 'transformation']","['customer service', 'innovation', 'leadership', 'reliability']",0,marketing
"['email management', 'security']","['communications', 'coordinating', 'management']",0,administration & office support
"['act', 'brochures', 'business', 'commercial focus', 'diversity and inclusion', 'e', 'fact sheets', 'indicators', 'marketing materials', 'merchandising', 'reconciliation', 'relationship building', 'sales', 'stakeholder management', 'supplier diversity', 'sustainability', 'track', 'trading']","['communications', 'governance', 'leadership', 'management', 'social media']",0,marketing
"['business', 'maternity', 'powerhouse', 'sales']","['leadership', 'sourcing']",0,sales
"['business', 'business development', 'market research', 'new business development', 'sales', 'service', 'strategic marketing', 'vehicle', 'excel']","['creativity', 'research', 'verbal communication skills']",0,sales
"['account management', 'business', 'business development', 'crm', 'heavy equipment', 'sales', 'service', 'excel']","['customer service', 'management', 'negotiation', 'presentations']",0,sales
"['business', 'data', 'development support', 'employee benefits', 'general insurance', 'investing', 'modelling skills', 'personal injury', 'sas', 'service', 'excel', 'modelling']","['business operations', 'consulting', 'decision making', 'management', 'operations']",1,telecomunication
"['3d animation', 'android', 'animation software', 'animations', 'api', 'augmented reality', 'business', 'data', 'digital', 'digital transformation', 'dotnet', 'front-end', 'hololens', 'information systems', 'ios', 'mobile', 'tablets', 'testing', 'tests', 'transformation', 'unity', 'user interface', 'ux', 'virtual reality', 'wearables', 'modelling']","['consulting', 'innovation', 'writing']",1,telecomunication
"['act', 'crm', 'microsoft dynamics', 'prototyping', 'remuneration', 'requirements elicitation', 'security', 'server', 'sql', 'sql server reporting services', 'storyboarding', 'azure']",['infrastructure'],1,telecomunication
"['application', 'copywriting', 'data', 'data management']","['infrastructure', 'management', 'microsoft word']",1,telecomunication
"['application', 'crm', 'customer success', 'customer support', 'mid-range', 'phone support', 'saas', 'salesforcecom', 'telephony', 'salesforce']",[],1,telecomunication
"['application', 'collections', 'crm', 'digital', 'digital marketing', 'email marketing', 'html', 'mailchimp', 'public transport', 'scheme', 'social media marketing']","['scheduling', 'social media']",0,marketing
"['business', 'food safety', 'inventory', 'service', 'shipping', 'stock control']",['operations'],0,administration & office support
"['business', 'business development', 'sales', 'scheme', 'vehicle', 'salesforce']",['presentations'],0,sales
"['acute care', 'application', 'medical', 'nursing', 'nursing care', 'perioperative', 'perioperative nursing', 'private hospital', 'registration', 'rehabilitation', 'service', 'surgery', 'working with children']","['customer service', 'decision making', 'management', 'problem solving']",0,healthcare & medical
"['data', 'service', 'work order', 'excel']","['data entry', 'filing']",0,administration & office support
"['analytics', 'business', 'business intelligence', 'crystal reports', 'data', 'data migration', 'data warehousing', 'etl', 'informatica', 'oracle', 'pl sql', 'reporting tools', 'scripting', 'server', 'sql', 'ssis', 'tableau', 'warehousing']",[],1,telecomunication
"['act', 'business', 'business development', 'digital', 'service']","['creativity', 'customer service', 'meeting', 'negotiation', 'presentations']",0,sales
"['business', 'data', 'data migration', 'scheme', 'scripting', 'server', 'sql', 'stakeholder engagement', 'system', 'databases']",['engagement skills'],1,telecomunication
"['business', 'cpr', 'networking', 'registration', 'service', 'track', 'working with children']","['customer service', 'first aid', 'leadership', 'management', 'people management']",0,sport & recreation
"['act', 'application', 'business', 'intranet', 'newsletters', 'procurement', 'records management', 'remuneration', 'service']","['customer service', 'management', 'operations', 'planning', 'research']",0,administration & office support
"['application', 'business', 'business systems', 'change management', 'continuous integration', 'css', 'digital', 'hibernate', 'html', 'j2ee', 'java', 'js', 'project management', 'service', 'soap', 'standard', 'strategic roadmaps']","['accountability', 'collaboration', 'integration', 'leadership', 'management']",1,telecomunication
"['act', 'mobile', 'sales', 'service', 'track', 'vehicle']","['customer service', 'motivational skills', 'written communication']",0,sales
"['act', 'brand marketing', 'business', 'business development', 'emergency preparedness', 'file management', 'finance', 'formal learning', 'investments', 'professional services', 'records management', 'resourcing', 'risk management', 'security', 'service', 'tax', 'tax return']","['accountability', 'communications', 'information technology', 'management', 'operations', 'preparedness', 'quality assurance']",0,administration & office support
"['auditing', 'myob', 'working with children']",['problem solving'],0,administration & office support
"['application', 'child safeguarding', 'disabilities', 'fundraising', 'maternity', 'standard']",['communications'],0,sales
"['clinical leadership', 'gps', 'registration']",['leadership'],0,healthcare & medical
"['act', 'medical', 'mental health', 'private hospital', 'service', 'standard', 'databases']",['customer service'],0,healthcare & medical
"['application', 'automotive', 'automotive industry', 'business', 'remuneration', 'sales', 'excel']",[],0,sales
"['hydrotherapy', 'maternity', 'medical', 'neonatal care', 'service']",['infrastructure'],0,healthcare & medical
"['glaucoma', 'investments', 'ophthalmology', 'registration', 'security', 'technology strategies']",[],0,healthcare & medical
"['analytics', 'business', 'data', 'data science', 'digital', 'digital technology', 'predictive analytics', 'python', 'r', 'scala', 'sql', 'statistical modelling', 'modelling']",[],1,telecomunication
"['application', 'digital', 'erp', 'phased implementation', 'risk management', 'track']","['management', 'meeting']",1,telecomunication
"['business', 'early intervention', 'exercise physiology', 'injury prevention', 'occupational therapy', 'physiology', 'professional development programs', 'registration', 'rehabilitation', 'service', 'vehicle', 'excel']","['leadership', 'written communication']",0,healthcare & medical
"['nursing', 'service']","['customer service', 'management']",0,healthcare & medical
['payroll administration'],[],0,accounting
"['finance', 'service']",[],0,accounting
"['active directory', 'business', 'employee benefits', 'logging', 'public transport', 'service', 'service desk', 'windows']","['customer service', 'integration']",1,telecomunication
"['act', 'agility', 'automation', 'backend', 'business', 'data', 'docker', 'git', 'golang', 'kubernetes', 'mysql', 'payment systems', 'payroll administration', 'positioning', 'property management', 'python', 'aws']","['accountability', 'integration', 'management', 'real estate']",1,telecomunication
"['case management', 'case management systems', 'desktop support', 'management systems', 'security', 'service', 'service desk', 'standard', 'standard operating environments', 'support engineering', 'windows']","['accountability', 'management', 'troubleshooting']",1,telecomunication
"['rsa', 'service']",['customer service'],0,retail & consumer products
"['business', 'business support systems', 'finance', 'hcm', 'payroll systems', 'project stakeholders', 'service']","['governance', 'scheduling']",1,telecomunication
"['architectural design', 'crm', 'data', 'data migration', 'functional testing', 'microsoft dynamics', 'microsoft dynamics crm', 'project management', 'service', 'testing']","['management', 'microsoft office', 'problem solving', 'verbal communication skills', 'writing']",1,telecomunication
"['accounts payable', 'business', 'invoice processing']",['writing'],0,accounting
"['business', 'cash flow management', 'credit control', 'finance', 'financial management', 'ledgers', 'sage 50', 'sales', 'trial balance', 'excel']",['management'],0,accounting
"['application', 'data', 'dialysis', 'dietetics', 'emergency medicine', 'lvl', 'medicine', 'mental health', 'nuclear medicine', 'occupational therapy', 'oncology', 'pathology', 'patient safety', 'remuneration', 'requisition', 'surgery', 'ultrasound']","['management', 'operations', 'presentations']",0,healthcare & medical
"['employee assistance programs', 'human services', 'maternity', 'mental health', 'public health', 'registration', 'remuneration', 'service']","['management', 'time management']",0,healthcare & medical
"['mobile', 'sales', 'service', 'technical information']","['customer service', 'enthusiasm', 'retail sales']",0,retail & consumer products
"['business', 'enterprise security', 'networking', 'profiling', 'sales', 'sales process', 'scale', 'security']","['problem solving', 'verbal communication skills']",1,telecomunication
"['business', 'business analysis', 'business case', 'business requirements', 'customer experience', 'digital', 'e-commerce', 'project coordination', 'service', 'stakeholder engagement', 'stakeholder management', 'transformation']","['customer service', 'management', 'meeting', 'tenacity']",1,telecomunication
"['go', 'health promotion', 'mental health', 'project management']",['management'],0,administration & office support
['sales'],[],0,administration & office support
"['act', 'business', 'data', 'digital', 'finance', 'protocol', 'service', 'service level', 'excel']","['data entry', 'reliability', 'self starter']",0,administration & office support
"['application', 'maternity', 'medical', 'midwifery', 'mmc', 'postnatal care', 'public transport', 'registration', 'service', 'system']","['collaboration', 'research', 'teaching']",0,healthcare & medical
"['application', 'closing', 'data', 'digital', 'diversity and inclusion', 'e', 'health informatics', 'health services research', 'health systems', 'informatics', 'medicine', 'remuneration', 'standard', 'telehealth']","['coordinating', 'research']",0,healthcare & medical
"['act', 'hepatitis', 'remuneration', 'service']",['management'],0,healthcare & medical
"['customer experience', 'safety standards', 'stock management']","['accountability', 'leadership', 'management', 'operations']",0,retail & consumer products
"['business', 'design and technology', 'lighting design', 'sales', 'service']","['customer service', 'willingness to learn']",0,retail & consumer products
"['acting', 'ai', 'api', 'api design', 'back-end', 'blockchain', 'circleci', 'continuous delivery', 'devops', 'digital', 'docker', 'front-end', 'full-stack', 'functional programming', 'graphql', 'html5', 'jasmine', 'java', 'javascript', 'jenkins', 'jest', 'junit', 'kubernetes', 'mongodb', 'mysql', 'nodejs', 'oop', 'presales', 'react', 'restlet', 'sass', 'schemaless', 'scrum', 'sns', 'soap', 'software development', 'testing', 'unit testing', 'web development', 'webpack', 'aws', 'ml']","['governance', 'leadership', 'team leadership']",1,telecomunication
['databases'],"['agenda', 'coordinating', 'operations', 'planning', 'typing']",0,administration & office support
"['application', 'business', 'change advisory', 'change control', 'closing', 'customer relationship management', 'economy', 'performance management', 'pmo', 'release management', 'service', 'service delivery', 'service management', 'transition management', 'working with children']","['collaboration', 'decision making', 'leadership', 'management', 'planning', 'program management', 'relationship management']",1,telecomunication
"['accounts payable', 'business', 'finance']",['operations'],0,accounting
"['agile methodology', 'application', 'backlogs', 'digital', 'scrum', 'track']",['planning'],1,telecomunication
"['booking', 'business', 'expense reports', 'finance', 'forecasting', 'process management', 'tracking', 'excel']","['agenda', 'communications', 'diplomacy', 'leadership', 'management', 'meeting', 'planning', 'problem solving', 'sourcing']",0,accounting
"['blogs', 'internal communications', 'material', 'peer review', 'social policy', 'stakeholder engagement']","['communications', 'editing', 'social media', 'writing']",0,marketing
"['dentistry', 'infection', 'infection control', 'kpis', 'registration']",[],0,healthcare & medical
"['business', 'finance', 'sales', 'excel']",[],0,accounting
"['service', 'service provider']","['infrastructure', 'management', 'negotiation']",1,telecomunication
"['accounts payable', 'accounts receivable', 'balance sheet', 'bank reconciliations', 'finance', 'financial accounting', 'fixed asset', 'fixed asset register', 'general ledger', 'journals', 'reconciliation', 'service', 'service delivery', 'system', 'tax', 'treasury']","['customer service', 'management', 'operations']",0,accounting
"['analytics', 'application', 'business', 'data', 'digital', 'digital media', 'google analytics', 'sales', 'service']","['communications', 'operations']",0,"advertising, arts & media"
"['adobe creative suite', 'electronic media', 'flash']","['communications', 'microsoft office', 'social media', 'swimming']",0,marketing
"['hotel operations', 'marketing collateral', 'quotations', 'sales', 'databases']","['hospitality', 'management', 'microsoft office', 'operations', 'organizational skills', 'presentations', 'social media', 'time management', 'written communication']",0,marketing
"['bing ads', 'indicators', 'key performance indicators', 'social media marketing', 'track', 'excel']","['communications', 'microsoft office', 'social media']",0,marketing
"['accounts receivable', 'business', 'sales', 'service', 'software systems', 'website monitoring', 'xero']",['customer service'],0,administration & office support
"['business', 'business development', 'contract negotiation', 'market share', 'mitigation', 'organic growth', 'risk mitigation', 'sales', 'sales management', 'stakeholder management', 'transparency']","['leadership', 'management', 'negotiation', 'resilience', 'tenacity']",0,sales
"['application', 'business', 'due diligence', 'sales', 'surveys']","['communications', 'filing', 'management', 'writing']",1,telecomunication
"['agile methodology', 'analytics', 'application', 'business', 'business intelligence', 'business requirements', 'data', 'data discovery', 'data visualization', 'digital', 'etl', 'etl tools', 'financial services', 'front end', 'informatica', 'information systems', 'landscape', 'oracle', 'predictive analytics', 'qlikview', 'reporting tools', 'sas', 'tableau', 'visual analytics', 'visualization', 'dashboards', 'modelling']","['collaboration', 'communications', 'leadership', 'management', 'teamwork']",1,telecomunication
"['account management', 'business', 'crm', 'internal relations', 'landscape', 'lead generation', 'phase', 'project management', 'sales', 'sales process', 'service', 'standard', 'system', 'track', 'tracking']","['accountability', 'coordinating', 'leadership', 'management', 'meeting', 'numbers', 'planning']",0,sales
"['business', 'electrical', 'sales', 'service', 'track', 'vehicle']",[],0,sales
"['data', 'procurement', 'purchasing', 'sales', 'service', 'vehicle', 'excel']","['customer service', 'data entry', 'enthusiasm', 'filing']",0,administration & office support
"['application', 'application development', 'business', 'business requirements', 'custom software', 'database design', 'docker', 'dotnet', 'hibernate', 'j2ee', 'java', 'junit', 'rabbitmq', 'soap', 'solid principles', 'solution delivery', 'sql', 'system', 'testing', 'track', 'web application', 'web application development', 'web development', 'databases']","['collaboration', 'consulting', 'innovation', 'management', 'meeting', 'relationship management']",1,telecomunication
"['retail management', 'service']","['customer service', 'management']",0,retail & consumer products
"['gps', 'primary health care', 'registration']",[],0,healthcare & medical
"['adobe creative suite', 'advertising campaigns', 'application', 'bigcommerce', 'campaign management', 'digital', 'digital marketing', 'e-commerce', 'facebook advertising', 'facebook marketing', 'front end', 'graphic design', 'javascript', 'media management', 'newsletters', 'social media management', 'web development']","['management', 'operations', 'social media']",0,marketing
"['accounts payable', 'accounts receivable', 'acting', 'business', 'credit control', 'finance', 'manufacturing', 'petty cash', 'sales']",['management'],0,accounting
